plan_codigo,materia_codigo,materia_nombre,anio_cursada,cuatrimestre,regimen,campo_formacion,formato,grupo_afin_mesa,codigos_materias_afines,requiere_mesa,tipo_mesa,orden_impresion,vigente_desde,vigente_hasta,observaciones
TUR-PLAN,TUR31,GEOGRAFIA TURISTICA MUNDIAL,3,,ANUAL,,MATERIA,,,SI,REGULAR,201,,,Precargado desde snapshot local pre-Laboratorio.
TUR-PLAN,TUR32,PRACTICA PROFESIONALIZANTE II,3,,ANUAL,,MATERIA,,,SI,REGULAR,202,,,Precargado desde snapshot local pre-Laboratorio.
TUR-PLAN,TUR33,PORTUGUES APLICADO,3,,ANUAL,,MATERIA,,,SI,REGULAR,203,,,Precargado desde snapshot local pre-Laboratorio.
LAB-2015,LAB01,CULTURA COMUNICACIÓN Y TRABAJO,1,,ANUAL,,MATERIA,,,SI,REGULAR,1,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB02,FISICA,1,,ANUAL,,MATERIA,,,SI,REGULAR,2,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB03,HIGIENE Y BIOSEGURIDAD,1,,ANUAL,,MATERIA,,,SI,REGULAR,3,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB04,BIOLOGIA E HISTOLOGIA,1,,ANUAL,,MATERIA,,,SI,REGULAR,4,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB05,QUIMICA GENERAL E INORGANICA,1,,ANUAL,,MATERIA,,,SI,REGULAR,5,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB06,QUIMICA ORGANICA,1,,ANUAL,,MATERIA,,,SI,REGULAR,6,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB07,TALLER DE LABORATORIO,1,,ANUAL,,MATERIA,,,SI,REGULAR,7,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB08,INFORMATICA,1,,ANUAL,,MATERIA,,,SI,REGULAR,8,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB09,QUIMICA ANALITICA,2,,ANUAL,,MATERIA,,,SI,REGULAR,9,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB10,QUIMICA BIOLOGICA,2,,ANUAL,,MATERIA,,,SI,REGULAR,10,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB11,RELACIONES HUMANAS,2,,ANUAL,,MATERIA,,,SI,REGULAR,11,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB12,ANATOMIA Y FISIOLOGIA HUMANA,2,,ANUAL,,MATERIA,,,SI,REGULAR,12,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB13,ESTADISTICA,2,,ANUAL,,MATERIA,,,SI,REGULAR,13,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB14,INGLES,2,,ANUAL,,MATERIA,,,SI,REGULAR,14,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB15,METODOLOGIA DE LA INVESTIGACION,2,,ANUAL,,MATERIA,,,SI,REGULAR,15,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB16,ORGANIZACIÓN Y GESTION DE INSTITUCIONES DE SALUD,2,,ANUAL,,MATERIA,,,SI,REGULAR,16,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB17,PRACTICA PROFECIONALIZANTE I,2,,ANUAL,,PRACTICA,,,SI,REGULAR,17,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB18,ETICA Y DEONTOLOGIA PROFESIONAL,3,,ANUAL,,MATERIA,,,SI,REGULAR,18,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB19,BIOQUIMICA ESPECIAL,3,,ANUAL,,MATERIA,,,SI,REGULAR,19,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB20,BIOQUIMICA CLINICA E INMUNOLOGICA,3,,ANUAL,,MATERIA,,,SI,REGULAR,20,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB21,HEMATOLOGIA Y HEMOSTASIA,3,,ANUAL,,MATERIA,,,SI,REGULAR,21,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB22,MICROBIOLOGIA,3,,ANUAL,,MATERIA,,,SI,REGULAR,22,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB23,SALUD PUBLICA,3,,ANUAL,,MATERIA,,,SI,REGULAR,23,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2015,LAB24,PRACTICA PROFESIONALIZANTE II,3,,ANUAL,,PRACTICA,,,SI,REGULAR,24,2015-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2015.
LAB-2024,LAB26,TECNICAS DE ORATORIA Y PRODCUCCION TEXTUAL,1,,ANUAL,,MATERIA,,,SI,REGULAR,1,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB27,FISICA APLICADA,1,,ANUAL,,MATERIA,,,SI,REGULAR,2,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB28,HIGIENE Y BIOSEGURIDAD APLICADA,1,,ANUAL,,MATERIA,,,SI,REGULAR,3,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB29,BIOLOGIA E HISTOLOGIA,1,,ANUAL,,MATERIA,,,SI,REGULAR,4,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB30,QUIMICA,1,,ANUAL,,MATERIA,,,SI,REGULAR,5,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB31,FUNDAMENTO DE LABORATORIO,1,,ANUAL,,MATERIA,,,SI,REGULAR,6,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB32,INFORMATICA,1,,ANUAL,,MATERIA,,,SI,REGULAR,7,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB33,PRACTICAS PROFESIONALIZANTES I,1,,ANUAL,,PRACTICA,,,SI,REGULAR,8,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB34,QUIMICA ANALITICA,2,,ANUAL,,MATERIA,,,SI,REGULAR,9,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB35,QUIMICA BIOLOGICA,2,,ANUAL,,MATERIA,,,SI,REGULAR,10,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB36,METODOLOGIA DE LA INVESTIGACION,2,,ANUAL,,MATERIA,,,SI,REGULAR,11,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB37,ANATOMIA Y FISIOLOGIA HUMANA,2,,ANUAL,,MATERIA,,,SI,REGULAR,12,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB38,BIOESTDISTICA,2,,ANUAL,,MATERIA,,,SI,REGULAR,13,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB39,INGLES TECNICO,2,,ANUAL,,MATERIA,,,SI,REGULAR,14,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB40,RELACIONES HUMANAS,2,,ANUAL,,MATERIA,,,SI,REGULAR,15,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB41,ORGANIZACIÓN Y GESTION DE INSTITUCIONES DE SALUD,2,,ANUAL,,MATERIA,,,SI,REGULAR,16,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB42,PRACTICAS PROFESIONALIZANTES II,2,,ANUAL,,PRACTICA,,,SI,REGULAR,17,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB43,ETICA PROFESIONAL,3,,ANUAL,,MATERIA,,,SI,REGULAR,18,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB44,SALUD PUBLICA,3,,ANUAL,,MATERIA,,,SI,REGULAR,19,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB45,BIOQUIMICA CLINICA E INMUNOLOGICA,3,,ANUAL,,MATERIA,,,SI,REGULAR,20,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB46,HEMATOLOGIA Y HEMOSTACIA,3,,ANUAL,,MATERIA,,,SI,REGULAR,21,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB47,MICROBIOLOGIA,3,,ANUAL,,MATERIA,,,SI,REGULAR,22,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB48,BIOQUIMICA ESPECIAL,3,,ANUAL,,MATERIA,,,SI,REGULAR,23,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
LAB-2024,LAB49,PRACTICAS PROFESIONALIZANTES III,3,,ANUAL,,PRACTICA,,,SI,REGULAR,24,2024-03-01,,Laboratorio cargado desde planillas fuente 2015/2024. Plan 2024.
